I cant believe that you are still doing this|LB|-0.5|0.5
Thank you very much!|RO|0.5|-0.5
No sir, we were never there|RO|0.5|-0.5
How many times do I have to ask you?|LB|-0.5|0.5
Could you help me with this?|RO|0.5|-0.5
Please let me just work in peace, I don't need your help|LO|-0.5|-0.5
Good day!|RB|0.5|0.5
Thank you for understanding|RO|0.5|-0.5
I hope this doesn't make you think badly of me|RO|0.5|-0.5
I come here every day so you don't have to tell me that|LB|-0.5|0.5
I'd like some coffee please|RB|0.5|0.5
How do you like your coffee?|RO|0.5|-0.5
You are late!|LB|-0.5|0.5
You are kinda late, so please try to be on time next time|RB|0.5|0.5
You handled that very well.|RB|0.5|0.5
Oh, thats not what I thought..|RO|0.5|-0.5
Don't forget to feed the dog!|RB|0.5|0.5
I always watch the sunday games, do you want to watch with me next week?|RB|0.5|0.5
Can't you see that I am busy?|LB|-0.5|0.5
This will raise a lot of question|LB|-0.5|0.5
This house is cleaner than my room|RO|0.5|-0.5
I don't suppose you would show me your collection, becasue you are not like that|LO|-0.5|-0.5
When will you learn?|LB|-0.5|0.5
I can't say that i agree, I think that is a really bad solution|LB|-0.5|0.5
When shopping, always follow my steps|RB|0.5|0.5
Firstly, don't go for the cheapest option|RB|0.5|0.5
Those shoes look good on you|RB|0.5|0.5
What is your excuse this time?|LB|-0.5|0.5
Sorry! I forgot the meeting|RO|0.5|-0.5
We'll say no more about it! just forget it, ok?|LB|-0.5|0.5
I can't believe you've done this|LB|-0.5|0.5
Thanks for being understanding|RO|0.5|-0.5
I hope I never have to deal with this again, because it sucked|LB|-0.5|0.5
This never works, so why even try!|LO|-0.5|-0.5
This exam was so stupid|LO|-0.5|-0.5
He never listens, what can i do!?|RO|0.5|-0.5
Can you show me how to do this?|RO|0.5|-0.5
There's no need to get snappy with me|LO|-0.5|-0.5
We are all in the same boat, mate|RB|0.5|0.5
Respectfully, you are wrong and I am right|LB|-0.5|0.5
This cannot be real|LB|-0.5|0.5
You really need to think about your next words!|LB|-0.5|0.5
Don't take that tone with me|LB|-0.5|0.5
Stop this victim charade|LB|-0.5|0.5
Look, we both need to change|RB|0.5|0.5
I don't know what you are talking about|LO|-0.5|-0.5
This is the seventh time already|LB|-0.5|0.5
Stop lying to me!|LB|-0.5|0.5
What do you think we should do?|RO|0.5|-0.5
Could you tell me one more time please?|RO|0.5|-0.5
I don't need to follow your orders|LO|-0.5|-0.5
This is entirely your fault|LB|-0.5|0.5
Please listen to me|RB|0.5|0.5
Believe me, I'm an expert in this field so I know this way better!|LB|-0.5|0.5
Just follow me and you will be fine.|RB|0.5|0.5
I refuse to listen to you |LO|-0.5|-0.5
Do you really think you can do this better than me?|LB|-0.5|0.5
No problem, we can do this together!|RB|0.5|0.5
What else do you want me to do?|RO|0.5|-0.5
Can you explain this to me?|RO|0.5|-0.5
Whatever, I do what I want!|LO|-0.5|-0.5
Maybe it will work better if we try it like this.|RB|0.5|0.5
I don't really care, just get it over with|LO|-0.5|-0.5
So you're saying you can do this better than me?|LB|-0.5|0.5
I'll do what you want me to do|RO|0.5|-0.5
Leave me alone, I don't want anything to do with this|LO|-0.5|-0.5
Who do you think you are, talking to me like that?|LB|-0.5|0.5
I really need your help .|RO|0.5|-0.5
Yeah sure, just ignore me like you always do.|LO|-0.5|-0.5
We can do that together if you want to.|RB|0.5|0.5
Do what you're told to do!|LB|-0.5|0.5
Thank you a lot, this really helped me!|RO|0.5|-0.5
You could maybe have put a bit more effort into this, if you need more advice let me know|RB|0.5|0.5
Do you think I did well?|RO|0.5|-0.5
Oh no, I should have done this better. Sorry for disappointing you|RO|0.5|-0.5
May I have your attention please!|RB|0.5|0.5
I expect you to have finished this before tomorrow!|LB|-0.5|0.5
You should be ashamed of yourself|LB|-0.5|0.5
I suppose.. If you say so... but what do you think?|RO|0.5|-0.5
You are being entirely ridiculous right now!|LB|-0.5|0.5
Let me know if you need any assistance. I'd be happy to help|RB|0.5|0.5
Now you've really crossed a line|LB|-0.5|0.5
Why are you always telling me what to do? Leave me alone, I can make decisions for myself|LO|-0.5|-0.5
I don't need you to tell me what to do|LO|-0.5|-0.5
I'm busy, so I won't be able to do anything about the project|LO|-0.5|-0.5
You always blame everything on me|LO|-0.5|-0.5
I don't know, what do you think?|RO|0.5|-0.5
Really? Do you think so?|RO|0.5|-0.5
No worries, we can try again|RB|0.5|0.5
